,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings
608,Anasuya,2007.0,A,"Crime, Mystery, Thriller            ",    A spine-chilling suspense thriller about a cat and mouse game between a budding journalist and motivated serial killer.,139,7.3,323
609,Postman,1999.0,,Action            ,"    Postman is a 2000 Indian Telugu film, directed by Muppalaneni Shiva and Produced by Mohan Babu. The film stars M Mohan Babu, Soundarya and Raasi in lead roles. The music of the film was ...                See full summary »",145,3.6,321
610,Seven,,UA,Thriller            ,"    A police officer is bewildered by conflicting statements about Karthik's identity. Several young women seem to share a mysterious connection with him. An old man claims to know Karthik as Krishnamurthy, who died thirty years ago.",117,5.2,320
611,Jil,2015.0,A,Action            ,    A firefighter earns the wrath of a don who believes him to be helping his aide gone rogue.,141,5.7,320
612,Solo,,UA,Drama            ,    Gautham is an orphan who has always wanted to marry a girl in a joint family.,152,6.7,320
613,Andarivaadu,2005.0,,"Action, Comedy, Drama            ",    Govindarajulu (Chiranjeevi) is a labor leader who enjoys life in his own entertaining way. His son Siddardh (Chiranjeevi) heads a popular TV channel. Govindarajulu raises his son Siddardh ...                See full summary »,162,4.4,320
614,Anthahpuram,1998.0,A,"Action, Drama            ",    Bhanu and her son fall prey to the unknown terror background of her husband's family- faction-ism which ultimately causes his death.,137,7.6,320
615,Samrat Ashok,1992.0,U,"Action, Drama, History            ",    The life story of emperor Ashoka.,160,6.2,320
616,Aapathbandavudu,1992.0,U,"Drama, Musical            ","    Madhava is a servant to Hema's father. Although they love each other, societal norms keep them apart. A horrific tragedy lands Hema in a mental asylum. Madhava enters the asylum to help and save her.",173,7.6,320
617,Aaha Kalyanam,2014.0,UA,"Comedy, Romance            ",    Partners of a wedding-planning firm face problems when they fall in love.,142,6.0,319
618,Allari Pidugu,2005.0,U,"Action, Drama, Romance            ",    Chakravarthy is a military officer. He has twins called Ranjith and Giri. Ranjit is very responsible kid with bright attitude. Giri is more of an innocent carefree guy. Chakravathy feels ...                See full summary »,171,2.7,319
619,Officer,2018.0,UA,"Action, Crime            ","    An honest officer fights to bring down a corrupt and dangerous cop, and attempts to bring down the entire Mumbai mafia with him.",122,3.4,318
620,Paisa,,,"Action, Drama            ",    Prakash is a sherwani model from the old city that believes money is the most important.,138,6.1,318
621,Yaan,2014.0,U,"Action, Thriller            ",    A young man gets into trouble in a foreign country.,153,3.5,317
622,Alluri Seetharama Raju,1974.0,U,"Action, Biography, Drama            ",    Biopic on the life of the famous Telugu freedom fighter Alluri Seetarama Raju..,187,7.5,317
623,Adavi Donga,1985.0,U,"Action, Comedy, Family            ",nan,136,6.6,317
624,Madhuram,2014.0,,"Drama, Fantasy, Romance            ",    A coffee cup takes us through a journey exploring the seven stages of love.,63,8.3,314
625,Vasu,2002.0,,"Drama, Romance            ",    Vasu is a musician and is hated by his father due to his unemployment. He emerges into a famous musician with the inspiration of his girlfriend.,146,6.9,314
626,Shiva,2006.0,A,"Action, Crime, Drama            ","    Sangli-based Shiva Kumar re-locates to Mumbai to live with his brother, Daksh; Bhabi, Manasi; and their son. He gets recruited as a Sub-Inspector with Mumbai Police, and Manasi hopes that ...                See full summary »",160,4.0,314
627,Saakshyam,2018.0,UA,Action            ,    A group of people commit unspeakable crimes and are confident of getting away with it since there are no witnesses. But nature is witness to their crimes and when all five elements of ...                See full summary »,166,4.9,312
628,Shadow,,,"Action, Crime, Drama            ",    A son seeks to avenge the murder of his father.,160,3.8,312
629,Babu Bangaram,2016.0,UA,"Action, Comedy            ",    A cop goes undercover to investigate a businesswoman and her father.,150,5.4,311
630,Shivam,,UA,"Action, Comedy, Romance            ",    The story of a boy (Ram) who wants to make his love life and marriage a success.,168,5.4,310
631,Rayudu,1998.0,,Family            ,"    Rayudu is a 1998 Indian Telugu film, directed by Ravi Raja Pinisetty and Produced by M. Mohan Babu. The film stars Mohan Babu, Soundarya, Rachana, Brahmanandam and Srinivasa Rao Kota in ...                See full summary »",150,4.2,307
632,Lion,,,"Action, Drama            ",    A man wakes up from coma and finds himself in the middle of a conspiracy hatched by the corrupt Chief Minister of the state.,143,3.3,305
633,Pantham,2018.0,UA,Action            ,    Vikranth is a vigilante who has targeted 'Nayak Bhai' and his money. Who is Vikranth and what is his beef with Nayak forms the crux of the story.,122,6.4,304
634,Govindha Govindha,1993.0,U,"Action, Crime, Drama            ","    A Tantric believes that by donating a virgin woman's head to gods crown, would bring down the universe to his feet. How the hero and heroine gets entangled in the underworld nexus, while rescuing the robbery, forms the crux of the plot.",145,6.8,304
635,Nippu,2012.0,,"Action, Comedy, Drama            ",    The story begins with Surya (Ravi Teja) who owns a gym center and he also has a good friend Sriram (Srikanth). Surya is in love with his friend's sister Meghna (Deeksha Seth) and after some...                See full summary »,159,3.8,303
636,Pasivadi Pranam,1987.0,U,"Action, Drama, Thriller            ",    Madhu (Chiranjeevi) is a painter who becomes a drunkard since his wife is killed immediately after their marriage in an accident. He leads a careless life until a kid (Baby Sujitha) who is ...                See full summary »,140,7.7,303
637,Chanakya,2019.0,UA,"Action, Thriller            ",    Arjun aka Ramakrishna is a RAW marshall from Delhi who has a 100% success rate at nabbing terrorists. What happens when he makes enemies out of India's most wanted Ibrahim Qureshi and his son Sohail?,147,5.5,302
638,Kondaveeti Raja,1986.0,U,"Action, Drama            ",nan,140,6.0,301
639,Jessie,2019.0,A,"Horror, Thriller            ","    Set in an abandoned house, the film follows a team of professional ghost hunters trying to conduct a paranormal investigation to unveil the mystery of two sisters, Jessie and Amy, where Amy shows unusual mental and physical behaviour.",106,7.0,300
640,Ninu Veedani Needanu Nene,2019.0,U/A,Comedy            ,    Ninu Veedani Needanu Nene is about a young man who gets mired in a dire situation and comes out successfully.,123,5.9,300
641,E,2006.0,U,"Action, Drama, Thriller            ","    E along with his friend Tony (Karunas) carries out small crimes to earn money. E brought up in tough conditions, grows up as a tough, fearless and emotionless guy. Meanwhile; ...                See full summary »",150,6.4,299
642,Ramayanam,1996.0,U,History            ,"    The story dealt with Lord Rama and his retaliation over Ravana, in which all the characters played in the film were child artists",160,7.1,297
643,Meeku Matrame Chepta,2019.0,UA,Comedy            ,"    Rakesh, in an effort to woo his fiance, has promised her that he is a teetotaler. But when a compromising video of his leaks just two days before his wedding, all hell breaks loose.",120,6.2,297
644,Jay Jay,2003.0,,Romance            ,    A different concept of destiny for a love story.,156,5.6,297
645,Naaga,2003.0,,Action            ,nan,0,3.9,295
646,Venkatadri Express,2013.0,U,"Adventure, Comedy            ",    A simple train journey to Tirupathi goes horribly awry for Sundeep (Sundeep) and Prarthana (Rakul) after they miss boarding the Venkatadri Express.,127,6.9,294
647,Golkonda High School,2011.0,,"Drama, Family            ",    A school in financial trouble hires an ex-student with a chequered past to regain the glory of its once famous cricket program,130,6.8,294
648,Khaidi No. 786,1988.0,U,"Action, Drama, Romance            ","    Gopi is an aspiring police constable and also a music master in a village. Radha is daughter of Arrogant Village head Surya Chandra Rao. Radha, in a fracas with Gopi, seeks revenge. But ...                See full summary »",144,6.6,293
649,Morning Raga,2004.0,,"Drama, Music            ","    Morning Raga is about the meeting of worlds. It is a story that brings the modern and traditional together, unites the past with present, Carnatic music with Western music, as never before ...                See full summary »",110,6.9,292
650,Hitler,1997.0,U,"Action, Drama            ",    A protective and caring brother overcomes plethora of challenges to unite his family after understanding his father's side of story,152,6.4,292
651,Anjaneyulu,2009.0,A,"Action, Comedy, Crime            ",    A news reporter joins a gang incognito to expose corrupt politicians as well as find out who killed his parents.,143,4.8,291
652,Khaidi Garu,1998.0,,Action            ,"    Khaidi Garu is a Indian Telugu film,directed by Om Sai Prakash and Produced by M Venkatadri Naidu and S Aadi Reddy. The film stars Mohan Babu, Krishnam Raju, Srihari and Laila in lead roles...                See full summary »",150,4.0,291
653,Thimiru,2006.0,U,Action            ,    A young medical student is plagued by local toughs and must fight to see justice done.,155,5.7,290
654,Loafer,2015.0,,"Action, Drama            ",    An evil father takes away his son from his wife and tries to corrupt the boy.,134,5.2,289
655,Collector Garu,1997.0,,"Action, Comedy, Drama            ","    With the help of a journalist, a honest district collector fights political corruption.",142,5.1,289
656,Tej I Love U,2018.0,U,Romance            ,"    Tej, a youngster who's highly attached to his family, is banished from his home by his uncle (Peddananna). He then finds himself in London, where he falls in love with Nandini. After long ...                See full summary »",122,5.4,288
657,Winner,,UA,"Action, Drama            ",    A man who is separated from his family as a child is replaced by an interloper.,155,4.6,288
658,Anveshana,1985.0,A,"Mystery, Thriller            ",    The story of an Ornithologist and a Police investigator coming to a forest and trying to solve the mystery of a series of killings allegedly by a man-eating tiger.,113,7.5,285
659,Ism,2016.0,UA,Action            ,    Hackers and gangsters collide in this story about the fight against corruption.,132,5.8,284
660,Abhinetri,2016.0,UA,"Comedy, Horror            ",    The Telugu version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Hindi version is Tutak Tutak Tutiya (2016) and the Tamil version is Devi(L) (2016),127,6.1,284
661,Allari Ramudu,2002.0,,"Action, Comedy, Drama            ",nan,0,4.3,284
662,Devadasu,2006.0,,Romance            ,"    Devadas is the typical poor guy, while Bhanumati is a rich NRI girl whose father is the senator of New York. They fall in love when the girl comes to India to learn classical dance. Coming ...                See full summary »",175,5.0,283
663,Kodama Simham,1990.0,U,"Action, Adventure, Western            ",    Chiranjeevi has to get back the treasures hidden by his father by fighting the bad guys to release his mother from jail,141,6.7,283
664,April 1 Vidudala,1991.0,U,"Comedy, Romance, Thriller            ",    A habitual liar and con-man tries to transform himself into a honest and truthful person to win the heart of his ladylove.,144,7.7,282
665,Lankeshwarudu,1989.0,U,"Action, Drama            ",    An orphan grows to become a powerful gangster but faces challenges from within his gang as well as his police officer brother-in-law.,157,6.6,281
666,Kondaveeti Donga,1990.0,U,"Action, Adventure, Drama            ","    Unable to tolerate the worries of the villagers, Raja takes aid of a fairy tale hero 'Kondaveeti Donga', transforms himself into one and sets out to save the people from an evil hypnotizer Kadra.",151,6.9,280
667,O Pitta Katha,2020.0,U,"Drama, Thriller            ",    Two men fall deeply in love with the same woman but when she suddenly gets kidnapped they get involved in the case to rescue her.,128,6.9,278
668,Mutamestri,1993.0,U,"Action, Drama            ",    The story of a vegetable market worker who rises to the state of a minister.,163,7.1,278
669,Subbu,2001.0,,Drama            ,nan,0,4.4,277
670,Pilla Nuvvu Leni Jeevitham,2014.0,A,"Action, Drama, Romance            ",    Seenu(Sai Dharam Tej) falls in love with Shailu(Regina) and proposes to her but gets rejected every time.Twist in the tale arises when Seenu comes to know that Shailu is in danger posed by ...                See full summary »,160,6.0,276
671,Sri Ramulayya,1999.0,,Action            ,nan,0,4.8,276
672,Boss,2006.0,U,Romance            ,"    Abandoned at birth at the Kasturba Annarthalay by her father, Gangulal, due to her gender, Anuradha grows up, and feels rejected when she is by-passed for adoption. When she grows up, she ...                See full summary »",151,4.2,276
673,Anaganaga Oka Roju,1997.0,U,"Action, Comedy, Drama            ",    Two runaway lovers are wanted both by the police and a bunch of crooks. Unknown to them they carry a powerful evidence that can expose a dirty political plot. The only person who can help ...                See full summary »,119,7.1,275
674,Raghavendra,2003.0,,"Action, Drama, Romance            ",    Raghavendra's life comes to a standstill when his lover is killed by a ruthless don and starts to live a reclusive life. However circumstances forces him to fight against the perpetrators who have ruined his life.,151,4.9,274
675,Kondaveeti Simhasanam,2002.0,U,"Action, Drama            ",nan,180,4.0,272
676,Cinema Chupista Maava,2015.0,,Family            ,"    Kaththi(Raj Tarun) is a careless youth who spends his life without any goal. One fine day, he falls in love with a Bengali girl named Parineetha(Avika Gor) and her father has some conditions for him to marry her daughter.",143,6.1,271
677,Sri Jagadguru Adi Shankara,2013.0,,Drama            ,    The film is based on the life of 8th century philosopher Adi Shankara. The film is the sequel of the 2001 Telugu Devotional film Sri Manjunatha.,0,6.4,270
678,Hawaa,2019.0,UA,Crime            ,"    A Gripping Nightmarish Journey in Broad Daylight which revolves around 9 BRAINS, 9 CRIMES in 9 HOURS..!.",110,7.0,269
679,Toofan,2013.0,,Action            ,    ACP Vijay Khanna is transferred to Mumbai. He is assigned to an investigation that puts him face to face with the oil mafia.,137,3.0,268
680,Ongole Githa,2013.0,A,"Action, Comedy            ",    White(Ram) enters the Chilli market yard in Ongole at the age of 12. Adikeshava (Prakash Raj) is the chairman of that Chilli yard. White comes to know of Adikeshava's real character and ...                See full summary »,160,5.1,268
681,Chukkallo Chandrudu,2006.0,,Drama            ,    A rich boy tries to identify the girl to marry from his 3 childhood friends.,146,5.4,268
682,Indrudu Chandrudu,1989.0,U,"Comedy, Drama            ",    A corrupt mayor decides to live honest life.,158,7.2,268
683,Sankranthi,2005.0,U,Drama            ,"    Raghavendra, Vishnu, Chinna, and Vamsi are brothers. Raghavendra and Anjali (Arti Agarwal) fall in love and they are relatives as well. They get engaged with the consent of parents. But ...                See full summary »",160,6.2,266
684,Aa Okkati Adakku,1993.0,U,Comedy            ,nan,155,7.8,266
685,Eeshwar,2002.0,,"Action, Drama            ",nan,0,5.2,265
686,Ratchakan,1997.0,,"Action, Romance            ","    Ajay, a short tempered young man falls in love with soniya daughter of a bigshot. Things take a turn for the worse when soniya's father puts a condition that Ajay has to control his temper for 3 months while working in his company.",154,6.4,264
687,Maruthu,2016.0,UA,"Action, Drama            ",    Maruthu is a rustic action entertainer where Vishal plays the role of a labourer. The story revolves around his relationship with his grandmother.,146,5.2,263
688,Yamudiki Mogudu,1988.0,U,"Action, Comedy, Fantasy            ","    A man, who wrongfully dies before his time, is reincarnated in the body of a lookalike.",145,7.3,262
689,Police Police,2010.0,A,Action            ,"    Srikanth (S.P Ranadheer) appears as the protagonist while Prithviraj Sukumaran (D.S.P) appears as the antagonist. Srikanth is a sincere cop who tries to remove the wrong doers, whereas ...                See full summary »",142,5.6,261
690,Evvarikee Cheppoddu,2019.0,U,Drama            ,"    Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",133,7.3,261
691,Sudigaadu,2012.0,UA,"Action, Comedy            ","    Join Shiva, a larger than life hero on a madcap journey to find his kidnapped parents and to capture a notorious criminal.",140,5.7,260
692,Rama Rama Krishna Krishna,2010.0,UA,"Action, Comedy, Drama            ",    After his wife's murder he give up Mumbai and goes to a village with his two sisters for their safety.,161,5.4,260
693,Geethanjali,2014.0,A,"Comedy, Horror            ",    Filmmakers are haunted by a woman who committed suicide.,135,6.3,259
694,Padamati Sandhya Ragam,1987.0,U,Romance            ,    The story of an Indian girl falling in love with an American in 80s USA.,142,7.8,259
695,Sri Manjunatha,2001.0,U,"Drama, Family, History            ",    The story of the famous Saint-Poet Manjunatha.,152,6.9,259
696,Vennela,2005.0,UA,Romance            ,nan,133,7.0,258
697,Jaguar,2016.0,,Action            ,"    Krishna, a young medical student, strikes against corrupt figures of power as a vigilante and tries to decribes his father's injustice death while trying to win the love of his friend's sister as a college student.",153,5.6,257
698,Marshal,2019.0,,Action            ,"    Marshal is a medical crime thriller movie directed by Jai Raaja Singh and produced by Abhay Adaka. The movie cast includes Srikanth, Abhay, Megha Chowdhury and Rashmi are in the lead roles. Yaadagiri Varikuppala scored music.",143,6.9,257
699,Master,1997.0,U,"Action, Drama            ","    A popular college professor is unable to find true happiness because of his dark past, but the persistence of love and justice ultimately win the day.",126,6.8,257
700,Maska,2009.0,,"Action, Comedy, Drama            ",    An unemployed slacker attempts to woo and marry a woman who is going to live abroad.,156,5.2,254
701,Assembly Rowdy,1991.0,,"Action, Drama            ",    An unemployed young man gets involved in local politics.,0,6.0,254
702,Mehbooba,2018.0,UA,"Action, Drama, Romance            ",    Mehbooba movie is a romantic love story in the backdrop of 1971 Indo-Pak war.,152,5.7,253
703,Sneham Kosam,1999.0,U,"Action, Drama            ","    Prabhavati lives a wealthy lifestyle in India with her dad, mom, and elder sister, Rani. Rani is of marriageable age and her marriage is arranged with her mom's half-brother, but just after...                See full summary »",169,6.5,253
704,Sindhu Bhairavi,1985.0,,Drama            ,"    The plot of the film revolves around the three lead characters J. K. Balaganapathi (JKB), Sindhamani aka Sindhu and Bhairavi. A Carnatic singer (JKB) at the peak of his career loses his ...                See full summary »",159,7.2,252
705,Adhinayakudu,2012.0,,"Action, Drama            ",    A Grandson from a political family struggles to level up with his father and grandfather. Balakrishna plays all three roles in this film.,0,3.6,250
706,Lakshyam,2007.0,UA,"Action, Drama, Romance            ",    A tale of brotherhood and love .,164,6.1,249
707,Adavi Ramudu,2004.0,UA,"Action, Romance            ","    A poor man from a small village attends an urban college and wins the heart of a woman from a wealthy and powerful family. Her relatives disapprove. Eventually, the pair flee into the forest and are pursued by her angry family.",0,4.0,249
708,Kunti Puthrudu,1993.0,,Drama            ,nan,140,4.1,249
709,Mathangi,2016.0,UA,Horror            ,"    King Udayapandyan ruled some provinces of Tamil Nadu, 600 years ago. He fell in love with a huntress named Mathangi (Ramya Krishnan), married her and built her a bungalow near the forest. ...                See full summary »",145,4.2,247
710,Brahma,1992.0,,Action            ,nan,130,3.9,246
711,Alludugaru,1990.0,U,"Drama, Comedy            ","    Kalyani (Shobhana) is ditched by the man she loves when her father disinherits her from his property. However, she is forced to hire Vishnu (Mohan Babu), a thief to play her husband before ...                See full summary »",144,5.7,245
712,Oka Chinna Viramam,2020.0,U,Thriller            ,"    Deepak is a businessman immensely in love with his pregnant wife Sameera . But when his idea of raising profits for his business puts her in trouble, he teams up with Balu (Naveen Neni) and Maya to save her.",95,7.3,244
713,Nenu Lenu,2019.0,UA,Drama            ,"    Nenu Lenu is the story of Eeshwar (Harshit), an orphan who falls for Parvati's (Sri Padma) honesty in the first sight and convinces her to marry him after much effort. In time, a gang of ...                See full summary »",118,7.3,244
714,Mrugaraaju,2001.0,U,"Action, Adventure, Thriller            ","    Raju lives a poor lifestyle in rural India along with his parents. He meets with a wealthy city girl, both fall in love, and get married much to the chagrin of her father who decides to ...                See full summary »",147,4.4,244
715,Bharani,2007.0,U,"Action, Drama            ","    Bharani, a hot headed man, tries to peacefully resolve the conflict between the families, from the one which he belongs, and the one from which his lover belongs. But several circumstances force him to use his fist than his heart first.",145,5.8,243
716,Dil,2003.0,,"Action, Romance            ","    Seenu has enrolled at the same college attended by Nandini, the only daughter of a don. Seenu is angry when her father's men beat him just because they think the two are falling in love, but it also becomes a challenge to win Nandini.",180,7.0,243
717,Ullasanga Utsahanga,2008.0,,Romance            ,    A complicated love story between childhood friend BALAJI and only friend Arvind. Which one Dhana should choose to spend his entire life with?,0,6.9,242
718,Kedi,2010.0,UA,Action            ,"    Ramesh, nicknamed Rummy (Nagarjuna) loves his childhood friend Janaki, who asks him to become rich and powerful before marrying her. With this motive, Rummy starts gambling and becomes rich in no time.",153,4.7,241
719,Shock,2006.0,,Action            ,    A man takes revenge from two corrupt encounter specialist officers and a criminal lawyer for framing him as a maoist and for killing his wife and unborn child.,0,5.4,241
720,Jyo Achyutananda,2016.0,U,"Comedy, Drama, Romance            ","    Achyut and Anand are brothers, Jyosthna is a tenant in their home. Both the brothers try impressing her.",125,6.5,240
721,Mithunam,2012.0,U,"Drama, Family            ","    Wedded together for fifty years, knowing each other inside out, Appadaasu and Buchchi Laxmi fill their retired days with raw quarrels and ripe loves. Emotional entanglements enslave them to...                See full summary »",120,7.7,240
722,Palasa 1978,2020.0,A,"Action, Drama            ","    Mohan Rao and his elder brother face Pedda Shavukar and Chinna Shavukar, a political battle where low caste fights the high caste power.",144,7.6,240
723,Maro Charithra,1978.0,U,"Drama, Romance            ",    Two lovers from differing cultural backgrounds are separated by their parents for one year in order to prove if their love is true.,169,7.4,239
724,Pelli Pustakam,1991.0,U,"Comedy, Drama, Romance            ",    Newly married couple K. Krishnamurthy and Satyabhama to solve their financial problems they seek a job in a big company. As their boss would give job only to one member of a family. So the couple lies that they are unmarried and joins.,151,7.5,238
725,Boy,2019.0,U,"Comedy, Drama            ",    A boy's story during the final days of his high school.,129,6.9,237
726,Yamaleela,1994.0,U,"Comedy, Drama, Fantasy            ","    Yamaleela is the story of Suraj, a careless and aimless young man. He comes to know that he hails from a royal family and how his mother raised him after his father's death and the loss of ...                See full summary »",140,7.5,237
727,Suryavamsam,1998.0,U,Drama            ,    Bhanu Prasad is an illiterate. So he is not loved much by his father. Even a young woman refuses to marry him as he is an illiterate. Later he meets Swapna who teaches him everything and finally he wins his father's trust and love.,156,7.1,236
728,Kaakki Sattai,1985.0,U,"Action, Comedy, Drama            ","    Murali is a young man obsessed with joining the police force. After being rejected several times, he is disillusioned and joins a smugglers' gang instead.",143,7.1,236
729,Ammoru,1995.0,U,"Fantasy, Horror            ",    A goddess protects a girl from an evil magician and his family.,129,7.1,236
730,Ninnu Choodalani,2001.0,,Romance            ,    The twin cities sport two sweet shop giants in the form of Siva Reddy (K Vishwanath) and Sahadeva Reddy (Kaikala Satyanarayana). Venu (Jr. NTR) is the teenage grandson of Siva Reddy and ...                See full summary »,0,4.4,235
731,Premante Idera,1998.0,,"Romance, Drama            ","    City-based Murli along with several male friends attend a marriage ceremony of one of their friends in a small village community. They travel by train, and arrive there awaiting to see what...                See full summary »",0,6.7,235
732,Devadasu,1953.0,U,"Drama, Family, Musical            ","    Adapted from a popular Bengali novel, Devadasu narrates the story of a rich guy and poor girl separated by class system of India. Parvati is forcefully married off to a middle-aged rich man and Devadasu becomes a drunkard.",191,7.4,235
733,Ninaithale Inikkum,1979.0,U,"Musical, Romance            ",    The movie revolves around a music troop who travel to Singapore for a performance and how their life takes a turn when they meet their love partner.,141,6.9,235
734,Jayam,2002.0,,"Action, Drama, Romance            ","    Jayam is a 2002 Telugu film produced and directed by Teja on Chitram Movies banner. Starring Nithiin, Sadha, and Gopichand in the lead roles and music composed by R. P. Patnaik.The story is...                See full summary »",152,6.3,234
735,Mugguru,2011.0,U,Comedy            ,nan,0,5.0,233
736,Ganesh,2009.0,UA,Romance            ,nan,0,5.0,233
737,Arjun Reddy,2017.0,UA,"Drama, Romance            ",    A thief falls in love and this changes his life.,143,5.0,232
738,Vangaveeti,2016.0,A,"Action, Biography, Crime            ",    The life story of slain legislator Vangaveeti Mohan Ranga Rao who was assassinated during the NT Rama Rao regime in 1989.,142,6.2,232
739,Chandamama Kathalu,2014.0,,Drama            ,    Intertwining stories of people belonging to a cross section of society.,134,7.2,232
740,Chandamama,2007.0,U,"Drama, Romance            ",    Mahalakshmi confesses to her fiance that whilst at school in city she fell in love with a boy who broke her heart. The fiance sets out to find the philandering boy to teach him a lesson and...                See full summary »,0,6.7,232
741,Rowdy Fellow,2014.0,,"Action, Romance            ","    An egoistic wealthy man becomes a cop to settle a score, but gets into a feud with a local politician.",150,6.7,231
742,Shirdi Sai,2012.0,U,"Biography, Drama, Musical            ",    Biopic of shirdi sai baba.,145,6.7,230
743,Sisindri,1995.0,,"Comedy, Family            ",    Three bumbling criminals find it harder to keep hold of a baby after sucessfully kidnapping the baby for ransom.,151,6.7,230
744,Manasantha Nuvve,2001.0,,"Drama, Family, Romance            ","    A young man and a young girl who love each other, gets separated in their childhood. A lot of things happen later in their lives. But they get united finally.",157,7.1,229
745,Seetharamaiah Gari Manavaralu,1991.0,U,Drama            ,"    Through family conflicts, separated daughter returns back to her father's hometown in an attempt to revive their family relationships.",145,7.7,229
746,Bhale Manchi Roju,2015.0,,"Action, Romance            ",    The story revolves around a guy who gets trapped in a situation where he is forced to kidnap a girl in order save his loved ones.,134,6.9,228
747,Devi Putrudu,2001.0,,"Drama, Fantasy            ",    Archeologist balaram doesn't believe in God and tries to find out the mystery of water torque in sea at ancient Dwaraka. Balaram believes that there is a mystery behind that's a strange ...                See full summary »,161,5.8,227
748,Super Duper,2019.0,UA,"Comedy, Thriller            ","    Two petty criminals end up kidnapping the wrong woman, and end up in a situation where they have to deal with a kingpin of a drug mafia.",118,6.6,226
749,Subhash Chandra Bose,2005.0,U,"Action, Drama, History            ","    Amarchandra lives a poor lifestyle in British India along with his mom, dad, Baba Thakur, and a sister. His dad works as a guard with the British Army, which is commandeered locally by ...                See full summary »",0,3.1,225
750,Hyderabad Blues 2,2004.0,A,"Drama, Comedy            ","    Six years after they got married, Ashwini and Varun come across a new challenge which tests the integrity of their marriage.",0,6.2,225
751,Vijetha,1985.0,U,"Drama, Family, Romance            ",    Chinnababu (Chiranjeevi) is an aspiring footballer who has a good heart. But his father does not support a career in football. Chinnababu loves a beautiful girl Priyadarshani (Bhanupriya) ...                See full summary »,107,7.2,225
752,Veera Bhoga Vasantha Rayalu,2018.0,UA,"Crime, Thriller            ","    A cop is pursuing a dangerous man who is behind the disappearance of a flight with innocent passengers, and orphan girls. Will he be nabbed?",132,6.7,224
753,Tik Tik Tik,1981.0,A,"Crime, Mystery, Thriller            ",    A fashion photographer gets embroiled in a series of grisly murders,164,7.0,224
754,Detective Naarada,1993.0,U,"Comedy, Drama, Thriller            ",nan,0,5.9,222
755,Kalyana Vaibhogame,2016.0,U,"Comedy, Drama            ","    Shourya (Naga Shourya) is a gaming software professional in Hyderabad. He is just 23 years old but his parents want him to get married before his aging grandmother dies. He wants freedom, ...                See full summary »",158,6.8,221
756,Heza,2019.0,UA,Drama            ,    A musician and his wife are haunted by an evil eye hex witch who tries to find her source for mortal life through them. The protagonist slums into unrest to escape from the demonic witch's grave peal.,111,7.4,220
757,Narthanasala,1963.0,U,"Drama, Musical            ",    This film deals with the Virata Parvam (Book of Virata) of the epic Mahabharatam dictated by Vyasa Maharshi.,175,7.6,219
758,Nenunnanu,2004.0,,Action            ,nan,0,5.3,218
759,Ganesh,1998.0,,"Action, Drama, Thriller            ","    Ganesh (Venkatesh) loses his father, sister and his friend who is also a journalist, due to the corrupt politicians. He takes revenge on the corrupt system.",0,7.2,217
760,Veedevadandi Babu,1997.0,,Comedy            ,nan,138,5.6,217
761,Sirivennela,1986.0,U,"Family, Musical            ","    Sirivennela is a 1986 Indian Telugu film, directed by K. Vishwanath and Produced by Ch. Ramakrishna Reddy, N. Bhaskara Reddy and Ujjuri Chinaveerraju. The film stars Suhasini, Sarvadaman ...                See full summary »",181,7.5,217
762,Routine Love Story,2012.0,,"Comedy, Romance            ",    Sanju (Sundeep Kishan) is a college going student who falls for a girl Tanvi (Regina Cassandra) at first sight. They get along over a period of time but unsure of the advancing in their ...                See full summary »,124,6.0,216
763,Intlo Illalu Vantaintlo Priyuralu,1996.0,,"Comedy, Family            ","    Sriram (Venkatesh) and Seeta (Soundarya) have no children even after three years of marriage life. Sriram comes to know through the doctor that his wife cannot bear children, he is not ...                See full summary »",0,6.9,216
764,Guna 369,2019.0,UA,"Action, Drama            ",    Guna (Karthikeya) is a happy-go-lucky guy who believes the solution to solving issues is not through violence but through compromise. But what happens when he's forced to the extremes by someone close to him?,146,6.3,216
765,Anandam,2001.0,,Romance            ,"    Kiran (Akash) and Aishwarya (Rekha) are neighbors for 20 years in Hyderabad. They study in the same college and immensely hate each other. Rekha's parents shift to Ooty. In Ooty house, ...                See full summary »",165,7.1,216
766,Masala,2013.0,,"Action, Comedy            ",    Balaram (Venkatesh) is a good hearted strongman of the village of Bheemarajapuram. He treats everyone with fairness and takes care of their needs. But there is one thing that Balaram cannot...                See full summary »,160,5.3,215
767,Entha Manchivaadavuraa,2020.0,U,"Action, Drama            ","    Balu loses both of his parents in his childhood and he grows up as an orphan. Because of this, he starts an organization named ""All Is Well"" to supply emotions to the needy.",152,5.5,215
768,Ruler,2019.0,,"Action, Drama            ","    Bhumika and Vedhika are trying hard to remind Balayya of his past. In the process, they take him to the villain's residence and asks to fight with him. Now, time for yet another fight",130,3.6,214
769,Om Namo Venkatesaya,2017.0,U,"Biography, Fantasy            ",    The life of Hathiram Baba is chronicled in this devotional biopic.,140,7.2,213
770,Gundello Godari,2013.0,,"Adventure, Drama, Romance            ","    Gundello Godari is about a newlywed couple who are forced to battle it out against a devastating flood of the River Godavari. They lose all hope of survival, so they decide to narrate the ...                See full summary »",108,4.8,213
